sequence,state
25968,0.9270120692801088
25969,0.7505687499042412
25970,0.1958456022584227
25971,0.7936800405255486
25972,0.7439290407370092
25973,0.407138273031719
25974,0.312301213189464
25975,0.0666777626713432
25976,0.953472208722744
25977,0.3084049179597198
25978,0.1471881418745846
25979,0.8772298222887898
25980,0.8416795260709435
25981,0.8969998835334702
25982,0.8962453514901995
25983,0.2102161476664373
25984,0.1361496200468033
25985,0.0640270195408768
25986,0.0983831994412963
25987,0.1922061900021169
25988,0.8796882556166283
25989,0.5108584873206741
25990,0.105822733505726
25991,0.1235499532907541
25992,0.066398843611948
25993,0.8855685733250963
25994,0.1435243877834837
25995,0.7802666332851538
25996,0.3477578674681978
25997,0.8607512600421295
25998,0.9299954665050773
25999,0.117189870354844
26000,0.7141735390289518
26001,0.3362996696274064
26002,0.8338027518645416
26003,0.9409934647652471
26004,0.0702497243903977
26005,0.8410753806755474
26006,0.1003974538744899
26007,0.8938867526301122
26008,0.2487527662712813
26009,0.6471147844858987
26010,0.1479290050685773
26011,0.0600716835338484
26012,0.1376523524598047
26013,0.0863169705423231
26014,0.6260805440372204
26015,0.2973023234531966
26016,0.2725824011240937
26017,0.8395102410420396
26018,0.9153565460210156
26019,0.4279617731623009
26020,0.659114934276392
26021,0.8901090667158537
26022,0.2738280524345157
26023,0.4793770096482712
26024,0.6871637752349724
26025,0.1335622510262508
26026,0.9340508417343676
26027,0.5750004255868946
26028,0.8993327031076733
26029,0.8345305639385595
26030,0.0913209872786744
26031,0.0712804508204367
26032,0.8863874352081832
26033,0.0532702964659621
26034,0.8520566344551516
26035,0.7220152390371868
26036,0.135968552992283
26037,0.2906133384480951
26038,0.2491545648156767
26039,0.099398539111205
26040,0.5788773839847525
26041,0.7628533040198873
26042,0.0970333250112366
26043,0.92508969064214
26044,0.0860566715374894
26045,0.8060147573351955
26046,0.2024424640567446
26047,0.907914258230981
26048,0.4813422007866628
26049,0.8880380240685072
26050,0.0669387066221241
26051,0.3406446348994112
26052,0.0695479547948264
26053,0.0638708753163412
