sequence,state
25968,0.9269957205622924
25969,0.8535092268659104
25970,0.1176418692685261
25971,0.7764139165634532
25972,0.7761309453473265
25973,0.5397935818647083
25974,0.4247006706308187
25975,0.0686655994308619
25976,0.95379546511714
25977,0.3255260521692777
25978,0.1568767049989192
25979,0.8859572965214738
25980,0.8634917744598739
25981,0.8978388505561752
25982,0.9010342140966898
25983,0.1954754437073646
25984,0.2032623552066581
25985,0.0631931686946932
25986,0.0891204826500953
25987,0.1878894082311175
25988,0.8131601695018063
25989,0.4344673227621313
25990,0.1119612559491885
25991,0.1014407946573649
25992,0.0768920677472311
25993,0.9072199136311184
25994,0.1758372272952541
25995,0.6693535167924177
25996,0.2842205597247256
25997,0.7410162500227885
25998,0.9408855378208152
25999,0.126124228128092
26000,0.7009373957642346
26001,0.3276046042616217
26002,0.8898022899958977
26003,0.9156518800179068
26004,0.064105541571489
26005,0.900939014897107
26006,0.1157776207764593
26007,0.9020444443746676
26008,0.2105955308968209
26009,0.4271115198950392
26010,0.1279956287192809
26011,0.0564887878521073
26012,0.2460291960052853
26013,0.0744903429748313
26014,0.5570544446686204
26015,0.3837710087754917
26016,0.22549021037049
26017,0.8248296385464333
26018,0.9176001350315364
26019,0.3428332490547779
26020,0.6245059418905118
26021,0.9052967470923308
26022,0.269958933648793
26023,0.4781286625777818
26024,0.5835677421352311
26025,0.1592887538492738
26026,0.9376743503467292
26027,0.748540573347094
26028,0.902009709577086
26029,0.8266511469050859
26030,0.0897412134386491
26031,0.0714133963256688
26032,0.8594180468640297
26033,0.0539969925380884
26034,0.875005646482894
26035,0.8000877167544985
26036,0.1178811389827913
26037,0.2814845134689292
26038,0.1992188275635439
26039,0.1218358092636324
26040,0.6066887553605809
26041,0.7328477336898618
26042,0.0968986340355151
26043,0.9286908285600314
26044,0.0803562992131212
26045,0.8841551529520766
26046,0.1923748514316162
26047,0.906007117360592
26048,0.3926333729771876
26049,0.895615822602332
26050,0.0657815407856169
26051,0.5550361831160242
26052,0.1143317432354637
26053,0.0708060244822932
26054,0.1092096456902299
26055,0.913128460023302
26056,0.8750803070902928
26057,0.3592406474250194
26058,0.7637090847282523
26059,0.658165384527063
26060,0.0753754460960828
26061,0.0762242147858473
26062,0.7026586610745702
26063,0.8527423327885237
26064,0.5799168759463821
26065,0.2179063297926634
26066,0.2328957531485969
26067,0.7642269695370109
26068,0.8454928125375584
26069,0.8486462957780934
26070,0.0615399850988661
26071,0.8815617202758566
26072,0.3029921350818754
26073,0.8624477505447948
26074,0.7677152259772144
26075,0.8332667259238357
26076,0.4872438790772158
26077,0.8980481085584947
26078,0.073284827357262
26079,0.1033913296367511
26080,0.9519207657207618
26081,0.2000095791368392
26082,0.0940630152090455
26083,0.807983626455432
26084,0.5734542314865756
26085,0.853998691955988
26086,0.3136908387063449
26087,0.5990811973720401
26088,0.073129229506095
26089,0.761505353456404
26090,0.1278718000503227
26091,0.4162452357936148
26092,0.8991402384546229
26093,0.0550342301742966
26094,0.2650235735723401
26095,0.9453902455978176
26096,0.8902748458887918
26097,0.5376806134445922
26098,0.1276987692297033
26099,0.6833938807125455
26100,0.865238370052285
26101,0.7634931556250169
26102,0.0648243751547379
26103,0.0689786282112491
26104,0.2752067530498929
26105,0.5104345708346457
26106,0.5238528329544582
26107,0.0448210739666613
26108,0.0741153317409819
26109,0.1721290283044
26110,0.7654289375285963
26111,0.7808047324473183
26112,0.8871216621221988
26113,0.0821646763275388
26114,0.9185157543208292
26115,0.6877292335019561
26116,0.6799278030979333
26117,0.089886486216925
26118,0.9145343935321788
26119,0.8382927205122487
26120,0.3390479972135531
26121,0.2574097522086908
26122,0.7980935906663149
26123,0.0627934735056187
26124,0.9218434530399896
26125,0.7032688793813127
26126,0.9027675669140314
26127,0.396744833664481
26128,0.4855897370483904
26129,0.9273550358354192
26130,0.9319325017323888
26131,0.3402368377420646
26132,0.8784809071764762
26133,0.1638055136801057
26134,0.0932637169079817
26135,0.8991451024915142
26136,0.912162394191436
26137,0.6647017401888676
26138,0.6628900875139687
26139,0.9117906228806928
26140,0.891080707008329
26141,0.0830350754830307
26142,0.2627594436390538
26143,0.4548829786734801
26144,0.3380665507820691
26145,0.8072639749924565
26146,0.7095131669916008
26147,0.5310759924137273
26148,0.1502762815991844
26149,0.0767756483425152
26150,0.3175735305032541
26151,0.7926252062801965
26152,0.077715524601
26153,0.8512684798467636
26154,0.6966660913760471
26155,0.7020254003643825
26156,0.2115232995075278
26157,0.8707341305078681
26158,0.1836495493970416
26159,0.8448413910003331
26160,0.1120997572673495
26161,0.0579171858098492
26162,0.943671217719506
26163,0.8475590022401778
26164,0.952853447138028
26165,0.401184044133722
26166,0.6937659823745905
26167,0.704518713671855
26168,0.6600769737215829
26169,0.3529471471294192
26170,0.045496784666796
26171,0.93021112240707
26172,0.9030336609337174
26173,0.6005653826279591
26174,0.2281950887480028
26175,0.9121406729195228
26176,0.9158801671329088
26177,0.2254505458362184
26178,0.9142234705568332
26179,0.3908635110051594
26180,0.056213270558824
26181,0.0834247733424166
26182,0.9192641041780376
26183,0.90756273425947
26184,0.4954076180739428
26185,0.0557202793137627
26186,0.0575434069460827
26187,0.3073870210938542
26188,0.8555046681081158
26189,0.5315826789546649
26190,0.9525683007919876
26191,0.8085598489622576
26192,0.6374365033007436
26193,0.5382023348223822
26194,0.0573146455412525
26195,0.1156819872989499
26196,0.7822111559731679
26197,0.0653223896610932
26198,0.8817701655862029
26199,0.1655006680980992
26200,0.6489273716850575
26201,0.9143805947847832
26202,0.6359497254234819
26203,0.5764897300981209
26204,0.7996548429752172
26205,0.1327843074144541
26206,0.1584178543396185
26207,0.275405256435754
26208,0.174685812948925
26209,0.9538688353662158
26210,0.0678881549995915
26211,0.7020943380970711
26212,0.4840081506195868
26213,0.778655327793048
26214,0.899546429140284
26215,0.9425049791168892
26216,0.2148327712618053
26217,0.8911495169202067
26218,0.2627351631596339
26219,0.2389720745224021
26220,0.2278208260361284
26221,0.8646230307299252
26222,0.0931284788983716
26223,0.9182622140548848
26224,0.1357782301961693
26225,0.3152500492380838
26226,0.7303047160839535
26227,0.9078228958533228
26228,0.9112355859523074
26229,0.446820150860691
26230,0.9210326338765052
26231,0.8319369257219835
26232,0.0989482092593215
26233,0.8599200380941525
26234,0.3427722943425406
26235,0.9506908728964756
26236,0.7902168280540927
26237,0.8203279008472205
26238,0.6532845715218463
26239,0.1125487150419469
26240,0.0472792736345145
26241,0.8870866086313678
26242,0.8949403243013487
26243,0.0828429214163322
26244,0.862366776721765
26245,0.2199610692458201
26246,0.0632402504724485
26247,0.2600933591557984
26248,0.7703793041919832
26249,0.746796524504987
26250,0.8693111881364058
26251,0.92376574228418
26252,0.9533693979696684
26253,0.8938437048908757
26254,0.0581930359018083
26255,0.5961589925202516
26256,0.9143009960582552
26257,0.0724052986966073
26258,0.8285513799338239
26259,0.8831188949916587
26260,0.8447767908743102
26261,0.5375814207895988
26262,0.2149613836199439
26263,0.8643571448623872
26264,0.0555644759263847
26265,0.1079216399656393
26266,0.2388414267932858
26267,0.8778334067849536
26268,0.8835884756118638
26269,0.0937232482421437
26270,0.8898792030757943
26271,0.6958129747077538
26272,0.2477752660703822
26273,0.0519816242826412
26274,0.834274369875726
26275,0.1392202534830044
26276,0.2191369789015732
26277,0.1314203269678914
26278,0.5919387848260413
26279,0.3408154582923109
26280,0.0482066684172622
26281,0.3475741478640769
26282,0.1026396464891706
26283,0.86935517371454
26284,0.401935175239185
26285,0.185127319642654
26286,0.0575359942225738
26287,0.8625355375352708
26288,0.0471634339743118
26289,0.7023425773036119
26290,0.871334113856348
26291,0.1065397996105668
26292,0.1033125748383901
26293,0.8689630525912072
26294,0.8995591375735726
26295,0.1495703775086014
26296,0.5731594841974541
26297,0.9359186713332448
26298,0.7611967384874345
26299,0.24736447813955
26300,0.0839410307288739
26301,0.1790449972432129
26302,0.5348224886388833
26303,0.2640463799639523
26304,0.3535461153509775
26305,0.3735691464998536
26306,0.3464022843232319
26307,0.6632543425636952
26308,0.928207291968576
26309,0.8067484293662942
26310,0.215693048243358
26311,0.361692290420342
26312,0.938732800707977
26313,0.1120283599486887
26314,0.0817393911905103
26315,0.4425560917604194
26316,0.9206137773818428
26317,0.9398935041540368
26318,0.8896398900081017
26319,0.7413944669728045
26320,0.7136051236501041
26321,0.0503454511533737
26322,0.0714118057920755
26323,0.4943493966024182
26324,0.0635855156833419
26325,0.3845549931270791
26326,0.1363108127125835
